Distance,Throttle,Speed
26.73722222222222,100.0,323.0
41.31666666666666,100.0,326.0
74.02555555555554,100.0,328.0
114.4811111111111,100.0,331.0
129.10027777777776,100.0,331.0
158.70027777777776,100.0,333.0
192.2933333333333,100.0,335.0
218.42666666666665,100.0,336.0
237.05527777777775,100.0,337.0
259.5886111111111,100.0,338.0
289.72194444444443,100.0,339.0
316.2441666666666,100.0,341.0
342.84416666666664,100.0,342.0
373.33916666666664,100.0,342.0
400.01694444444445,100.0,343.0
418.9772222222222,100.0,343.0
442.0061111111112,100.0,344.0
457.295,100.0,344.0
487.9616666666667,100.0,345.0
510.9616666666667,100.0,345.0
526.2433333333333,100.0,346.0
557.095,100.0,346.0
576.3727777777779,100.0,347.0
599.5061111111112,100.0,347.0
626.5727777777779,100.0,348.0
649.7061111111111,100.0,347.0
688.4694444444445,100.0,348.0
727.0394444444446,100.0,348.0
757.972777777778,100.0,348.0
784.865277777778,0.0,347.0
798.7319444444447,0.0,312.0
817.2755555555558,0.0,277.0
833.6755555555558,0.0,246.0
845.7261111111113,0.0,218.0
856.4483333333335,0.0,193.0
867.1150000000001,0.0,160.0
879.203888888889,0.0,136.0
888.3816666666668,0.0,118.0
894.4675000000001,0.0,109.0
904.2402777777779,0.0,98.0
910.2652777777779,0.0,90.0
918.6419444444446,0.0,84.0
923.0527777777779,5.0,79.0
926.6527777777779,32.0,81.0
931.4305555555557,3.0,86.0
937.8861111111113,0.0,83.0
947.0527777777779,0.0,75.0
954.3730555555557,22.0,73.0
957.641388888889,22.0,74.0
963.7858333333334,36.0,79.0
968.4525000000001,43.0,84.0
981.041388888889,73.0,103.0
988.241388888889,80.0,108.0
1001.8791666666668,100.0,136.0
1008.111388888889,100.0,142.0
1016.611388888889,100.0,153.0
1023.9011111111113,100.0,163.0
1039.7233333333334,100.0,178.0
1059.1691666666668,100.0,195.0
1072.6919444444445,100.0,202.0
1099.0919444444446,100.0,216.0
1121.8919444444446,100.0,228.0
1148.3811111111113,100.0,239.0
1162.060277777778,100.0,245.0
1190.2825000000003,100.0,254.0
1207.4108333333336,100.0,258.0
1224.944166666667,100.0,263.0
1255.2419444444447,100.0,272.0
1282.941944444445,100.0,277.0
1295.386388888889,100.0,280.0
1320.6308333333336,100.0,284.0
1339.8975000000005,100.0,289.0
1362.4530555555561,100.0,290.0
1385.3197222222227,100.0,294.0
1415.0197222222228,100.0,297.0
1434.819722222223,100.0,297.0
1448.3258333333338,100.0,302.0
1475.3480555555561,100.0,304.0
1509.2886111111115,100.0,307.0
1523.1077777777784,100.0,309.0
1547.2188888888898,100.0,310.0
1571.4077777777784,100.0,311.0
1585.3188888888894,100.0,313.0
1613.2300000000005,100.0,314.0
1634.1633333333339,100.0,314.0
1662.4300000000005,100.0,318.0
1680.096666666667,100.0,318.0
1708.5411111111116,100.0,320.0
1726.285277777778,100.0,321.0
1754.9969444444448,100.0,322.0
1769.3525000000004,100.0,323.0
1794.4747222222227,100.0,323.0
1819.7525000000003,100.0,325.0
1841.4858333333339,100.0,326.0
1863.2858333333338,100.0,327.0
1885.085833333334,100.0,327.0
1903.3080555555562,100.0,328.0
1917.9302777777784,100.0,329.0
1936.1525000000006,100.0,328.0
1968.9525000000006,100.0,328.0
1983.5302777777783,100.0,328.0
2005.0863888888894,0.0,322.0
2021.0063888888894,0.0,288.0
2042.1619444444448,0.0,272.0
2058.5536111111114,0.0,210.0
2070.189166666667,0.0,176.0
2078.911388888889,0.0,157.0
2086.951388888889,0.0,144.0
2099.915277777778,0.0,130.0
2109.326388888889,0.0,121.0
2120.5575000000003,16.0,112.0
2127.926666666667,39.0,111.0
2134.2600000000007,62.0,114.0
2142.6280555555563,80.0,125.0
2151.294722222223,30.0,130.0
2160.0280555555564,36.0,131.0
2167.36138888889,68.0,132.0
2176.655833333334,95.0,140.0
2191.7977777777787,100.0,151.0
2206.9088888888896,100.0,170.0
2221.142222222223,100.0,183.0
2234.0755555555565,100.0,194.0
2245.2980555555564,100.0,201.0
2254.308055555556,100.0,204.0
2268.6413888888897,100.0,215.0
2280.919166666667,100.0,221.0
2290.8747222222228,100.0,224.0
2306.341388888889,100.0,232.0
2330.408055555556,100.0,240.0
2346.8061111111115,100.0,247.0
2366.4061111111114,100.0,252.0
2380.683888888889,100.0,257.0
2406.9838888888894,100.0,263.0
2424.576944444445,100.0,265.0
2447.1361111111114,0.0,253.0
2460.4580555555563,0.0,241.0
2471.101944444445,0.0,238.0
2493.1405555555557,0.0,221.0
2512.162777777778,6.0,214.0
2528.340555555556,95.0,208.0
2537.732222222223,95.0,210.0
2549.565555555556,100.0,213.0
2561.565555555556,100.0,216.0
2579.065555555556,100.0,225.0
2607.787777777778,100.0,235.0
2623.787777777778,100.0,240.0
2637.3433333333337,100.0,244.0
2653.8766666666666,100.0,248.0
2679.5766666666664,100.0,257.0
2702.865555555555,100.0,262.0
2720.732222222222,100.0,268.0
2735.732222222222,100.0,270.0
2753.941111111111,100.0,272.0
2766.0427777777772,100.0,274.0
2819.164722222222,0.0,199.0
2836.178055555555,30.0,192.0
2844.6224999999995,74.0,190.0
2855.2911111111107,77.0,193.0
2872.8022222222216,100.0,197.0
2896.1938888888885,100.0,210.0
2908.1383333333333,100.0,215.0
2917.8991666666666,100.0,221.0
2933.028611111111,100.0,226.0
2943.3397222222216,100.0,232.0
2953.586388888888,100.0,232.0
2966.986388888888,100.0,240.0
2983.5197222222214,100.0,248.0
3000.3197222222216,100.0,252.0
3011.670555555555,100.0,257.0
3023.253611111111,100.0,259.0
3046.9869444444444,100.0,267.0
3083.386944444444,100.0,273.0
